# ,Vehicle Description, Device-ID ,Date ,Time ,OdometerKm,Lat/Lon ,Address ,Latest Batt %,Since Last Check-In
137,NE1_KA04B7111_TANKER,ne1_ka04b7111_tanker,21/07/2022,10:52:12,12606,13.0121/77.5671,Malleshwaram,,0d 00h 00m
138,WWM_VV1_KA53B3460_JETTING,wwm_vv1_ka53b3460_jetting,22/07/2022,15:33:58,277,12.9367/77.5212,Nayandanahalli,,89d 19h 37m
139,NW1_KA04D6656_JETTING,nw1_ka04d6656_jetting,22/07/2022,19:19:24,44724,13.0071/77.5529,Subramanya Nagar,,0d 02h 31m
140,WWM_KA53B3476_DUMPING,wwm_ka53b3476_dumping,26/07/2022,11:23:38,26084,13.0642/77.6065,Amruthahalli,,0d 00h 00m
141,NW1_KA04D4278_JETTING,nw1_ka04d4278_jetting,27/07/2022,10:27:25,17690,13.0066/77.5469,Nagapura,,0d 01h 01m
142,SW3_KA02AC5929_JETTING,sw3_ka02ac5929_jetting,27/07/2022,11:23:08,22307,12.9364/77.5620,Chenammana Kere,,4d 00h 27m
143,SW6_KA04C5129_JETTING,sw6_ka04c5129_jetting,27/07/2022,12:44:16,26916,12.8745/77.5182,Poornapragana Layout,,601d 22h 40m
144,SE1_KA04D4110_JETTING,se1_ka04d4110_jetting,27/07/2022,17:35:52,17728,12.9555/77.6174,Vivek Nagar,,0d 00h 07m
145,NE1_KA04A6216_JETTING,ne1_ka04a6216_jetting,27/07/2022,19:55:40,1608152,13.0113/77.5678,Malleshwaram,,1d 14h 35m
146,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,27/07/2022,23:54:52,77524,13.0111/77.5673,Malleshwaram,,224d 00h 25m
147,SE1_KA04D5303_TANKER,se1_ka04d5303_tanker,27/07/2022,23:58:25,28710,12.9826/77.6493,Thippasandra,,0d 00h 00m
148,E1_KA04D5122_TANKER,e1_ka04d5122_tanker,27/07/2022,23:58:33,26589,13.0208/77.6495,Babushibpalya,,0d 00h 00m
149,SE1_KA04AB5794_JETTING,se1_ka04ab5794_jetting,27/07/2022,23:58:37,12204,12.9662/77.5878,BBMP,,0d 00h 00m
150,NE2_KA04C5137_JETTING,ne2_ka04c5137_jetting,27/07/2022,23:58:37,33086,12.9973/77.5995,Jayamahal Palace,,0d 00h 00m
151,SW3_KA05AD2942_DESILTING,sw3_ka05ad2942_desilting,27/07/2022,23:58:38,22037,12.9432/77.5765,Venus Residency,,0d 00h 00m
152,SE1_KA04AA9030_DESILTING,se1_ka04aa9030_desilting,27/07/2022,23:58:38,10136,12.9581/77.6121,Hotel Royal Heritage,,0d 00h 00m
153,NE2_KA04B7110_TANKER,ne2_ka04b7110_tanker,27/07/2022,23:58:39,34690,13.0103/77.5667,Malleshwaram,,0d 00h 00m
154,WWM_VV1_KA04AA9029_DESILTING,wwm_vv1_ka04aa9029_desilting,27/07/2022,23:58:52,9218,,,,0d 00h 00m
155,SW3_KA04A9513_JETTING,sw3_ka04a9513_jetting,27/07/2022,23:58:55,26451,12.9432/77.5764,Venus Residency,,126d 02h 04m
156,NE1_KA04C5136_JETTING,ne1_ka04c5136_jetting,27/07/2022,23:58:57,79489,13.0105/77.5667,Malleshwaram,,0d 00h 00m
157,NE2_KA04D4272_JETTING,ne2_ka04d4272_jetting,27/07/2022,23:58:57,18351,12.9903/77.5780,Seshadripuram,,0d 00h 00m
158,SE1_KA04AB5793_JETTING,se1_ka04ab5793_jetting,27/07/2022,23:59:01,12162,12.9582/77.6123,Hotel Royal Heritage,,0d 00h 00m
159,WWM_KC2_KA53B3472_JETTING,wwm_kc2_ka53b3472_jetting,27/07/2022,23:59:01,23952,12.9562/77.6435,Hare Krishna Residency,,0d 00h 43m
1,EE_WWMNH_A_V_KA53B3470_SUCTION,ee_wwmnh_a_v_ka53b3470_suction,1/1/2014,5:30:18,22823,,,,0d 00h 04m
2,E11_KA04C5158_JETTING,e11_ka04c5158_jetting,1/1/2014,5:30:20,22358,,,,0d 18h 02m
3,SW2_KA04AA7685_DESILTING,sw2_ka04aa7685_desilting,1/1/2014,5:30:20,7981,,,,0d 01h 12m
4,WWMN_CV1_KA53B3464_JETTING,wwmn_cv1_ka53b3464_jetting,1/1/2014,5:30:20,14804,,,,28d 08h 08m
5,S12_KA05D8083_TANKER,s12_ka05d8083_tanker,1/1/2014,5:30:20,32840,,,,0d 02h 11m
6,E12_KA04D6648_JETTING,e12_ka04d6648_jetting,1/1/2014,5:30:20,14721,,,,0d 16h 35m
7,WWMN_CV1_KA04AA9020_DESILTING,wwmn_cv1_ka04aa9020_desilting,1/1/2014,5:30:20,14801,,,,1d 00h 08m
8,SE5_KA04A3044_JETTING,se5_ka04a3044_jetting,1/1/2014,5:30:22,17052,,,,0d 00h 00m
9,E21_KA02AC4521_JETTING,e21_ka02ac4521_jetting,1/1/2014,5:30:29,40815,,,,0d 00h 00m
10,W21_KA04D4156_JETTING,w21_ka04d4156_jetting,1/1/2014,5:30:30,26751,,,,0d 00h 00m
11,NW12_KA04D4601_JETTING,nw12_ka04d4601_jetting,1/1/2014,5:30:30,22663,,,,0d 00h 00m
12,SW2_KA04D4607_JETTING,sw2_ka04d4607_jetting,1/1/2014,5:30:31,17960,,,,0d 00h 00m
13,S11_KA04D5298_TANKER,s11_ka04d5298_tanker,1/1/2014,5:30:32,40655,,,,0d 00h 00m
14,SW4_KA04C5143_JETTING,sw4_ka04c5143_jetting,1/1/2014,5:30:32,41183,,,,6d 18h 31m
15,NE2_KA04D5294_TANKER,ne2_ka04d5294_tanker,1/1/2014,5:30:35,10823,,,,0d 00h 00m
16,NW3_KA04D5235_TANKER,nw3_ka04d5235_tanker,1/1/2014,5:30:41,28565,,,,0d 00h 00m
17,W22_KA04C5134_JETTING,w22_ka04c5134_jetting,1/1/2014,5:30:48,17135,,,,0d 00h 00m
18,S11_KA04D5161_JETTING,s11_ka04d5161_jetting,1/1/2014,5:30:50,17570,,,,0d 00h 00m
19,SW1_KA04D5123_TANKER,sw1_ka04d5123_tanker,1/1/2014,5:30:50,14994,,,,0d 00h 00m
20,NW1_KA04D3161_TANKER,nw1_ka04d3161_tanker,1/1/2014,5:30:52,23534,,,,0d 00h 05m
21,N12_KA04C3715_JETTING,n12_ka04c3715_jetting,1/1/2014,5:30:52,14842,,,,0d 00h 00m
22,NW3_KA04A3043_JETTING,nw3_ka04a3043_jetting,1/1/2014,5:30:52,21623,,,,16d 22h 19m
23,WWMN_CV1_KA53B3463_DUMPTANKER,wwmn_cv1_ka53b3463_dumptanker,1/1/2014,5:31:00,15425,,,,0d 00h 00m
24,NW4_KA04C5135_JETTING,nw4_ka04c5135_jetting,1/1/2014,5:31:01,15276,,,,0d 00h 00m
25,SE6_KA04D6654_JETTING,se6_ka04d6654_jetting,1/1/2014,5:31:07,24495,,,,0d 00h 00m
26,E22_KA04C5153_JETTING,e22_ka04c5153_jetting,1/1/2014,5:31:23,55251,,,,0d 00h 00m
27,S11_KA04D4104_JETTING,s11_ka04d4104_jetting,1/1/2014,5:31:28,25397,,,,0d 00h 00m
28,SE2_KA04D6651_JETTING,se2_ka04d6651_jetting,1/1/2014,5:31:29,30487,,,,0d 00h 00m
29,NW11_KA04D6653_JETTING,nw11_ka04d6653_jetting,1/1/2014,5:31:35,15038,,,,0d 00h 00m
30,SE2_KA05D8227_TANKER,se2_ka05d8227_tanker,1/1/2014,5:31:40,50156,,,,0d 00h 00m
31,E21_KA03C5060_TANKER,e21_ka03c5060_tanker,1/1/2014,5:31:49,54665,,,,0d 00h 00m
32,WWW_V_VV1_KA53B3462_JETTING,www_v_vv1_ka53b3462_jetting,1/1/2014,5:31:50,12743,,,,0d 00h 00m
33,C1_KA04D5121_TANKER,c1_ka04d5121_tanker,1/1/2014,5:31:53,12473,,,,0d 00h 00m
34,C1_KA04AD2944_DESILTING,c1_ka04ad2944_desilting,1/1/2014,5:32:58,51021,,,,0d 00h 00m
35,C1_KA04D4107_JETTING,c1_ka04d4107_jetting,1/1/2014,5:33:18,15348,,,,0d 00h 00m
36,SW1_KA04C5126_JETTING,sw1_ka04c5126_jetting,1/1/2014,5:33:19,13883,,,,0d 00h 00m
37,E21_KA04D4862_JETTING,e21_ka04d4862_jetting,1/1/2014,5:33:51,23030,,,,0d 00h 00m
38,EE_WWMNH_A_V_KA53B3471_SUCTION,ee_wwmnh_a_v_ka53b3471_suction,1/1/2014,5:34:49,49767,,,,0d 00h 00m
39,E23_KA04C3716_JETTING,e23_ka04c3716_jetting,1/1/2014,5:35:04,12560,,,,0d 00h 00m
40,NW4_KA04AC5936_TANKER,nw4_ka04ac5936_tanker,1/1/2014,5:35:20,19999,,,,0d 02h 30m
41,N21_KA04D5125_TANKER,n21_ka04d5125_tanker,1/1/2014,5:39:33,14772,,,,0d 00h 00m
42,E11_KA04D5289_TANKER,e11_ka04d5289_tanker,1/1/2014,5:42:26,26069,,,,0d 00h 00m
43,WWW_V_VV1_KA53B3467_JETTING,www_v_vv1_ka53b3467_jetting,1/1/2014,5:48:00,49084,,,,4d 19h 18m
44,NW3_KA04D4113_JETTING,nw3_ka04d4113_jetting,1/1/2014,5:48:33,14574,,,,0d 00h 00m
45,C2_KA04C5160_JETTING,c2_ka04c5160_jetting,1/1/2014,6:01:12,19260,,,,0d 00h 00m
46,S11_KA04C2198_JETTING,s11_ka04c2198_jetting,1/1/2014,6:14:35,26633,,,,0d 18h 31m
47,N11_KA04C5142_JETTING,n11_ka04c5142_jetting,1/1/2014,6:18:27,39490,13.0590/77.5874,Chairman's Club & Resort,,0d 00h 00m
48,C2_KA03C5048_TANKER,c2_ka03c5048_tanker,1/1/2014,7:29:58,14071,,,,0d 00h 00m
49,N21_KA02AC4524_JETTING,n21_ka02ac4524_jetting,1/1/2014,8:03:50,34571,,,,0d 00h 00m
50,SW1_KA02AC5939_JETTING,sw1_ka02ac5939_jetting,1/1/2014,8:05:02,21485,12.9701/77.5834,Cubbonpet,,0d 00h 00m
51,SW6_KA04D5233_TANKER,sw6_ka04d5233_tanker,1/1/2014,8:51:06,85338,12.8747/77.5180,Poornapragana Layout,,0d 00h 00m
52,NE1_KA04N1245_JEEP,ne1_ka04n1245_jeep,1/1/2014,9:22:08,2380,13.0112/77.5674,Malleshwaram,,1d 21h 35m
53,N11_KA04D6659_JETTING,n11_ka04d6659_jetting,1/1/2014,9:36:51,64346,13.0518/77.6306,Tansandra,,0d 00h 00m
54,C2_KA02AC5950_JETTING,c2_ka02ac5950_jetting,1/1/2014,9:50:24,18767,,,,0d 00h 00m
55,S11_KA04C5151_JETTING,s11_ka04c5151_jetting,1/1/2014,9:51:57,20678,12.9473/77.5964,Lemon Tree Electronic City,,0d 19h 02m
56,SE6_KA04AA9017_DESILTING,se6_ka04aa9017_desilting,1/1/2014,9:58:18,18594,12.9209/77.6057,Gurappanapalya,,0d 21h 22m
57,EE_WWMNK_T_V_KA53B3469_JETTING,ee_wwmnk_t_v_ka53b3469_jetting,1/1/2014,10:22:36,107687,12.9475/77.6231,Vivek Nagar,,0d 00h 00m
58,S13_KA04C5149_JETTING,s13_ka04c5149_jetting,1/1/2014,10:52:26,21212,,,,0d 00h 01m
59,E13_KA02AC4534_JETTING,e13_ka02ac4534_jetting,1/1/2014,10:52:53,30930,,,,0d 00h 00m
60,S12_KA04D4603_JETTING,s12_ka04d4603_jetting,1/1/2014,10:55:20,89403,12.9003/77.6226,Hongasandra,,0d 00h 00m
61,N22_KA02AC4516_JETTING,n22_ka02ac4516_jetting,1/1/2014,12:05:01,32334,13.0662/77.5581,Dod Bammasandra,,0d 00h 00m
62,N12_KA04AA1784_DESILTING,n12_ka04aa1784_desilting,1/1/2014,12:12:18,15696,13.0179/77.6056,Keval Bhairsandra,,7d 22h 06m
63,SE5_KA04D4155_JETTING,se5_ka04d4155_jetting,1/1/2014,12:19:48,27211,12.9222/77.6340,Koramangala Teachers Colony,,0d 00h 03m
64,SW2_KA04C5161_JETTING,sw2_ka04c5161_jetting,1/1/2014,12:38:39,18264,13.0236/77.5587,Devanalya,,0d 00h 00m
65,S12_KA04C4868_JETTING,s12_ka04c4868_jetting,1/1/2014,12:40:32,92358,12.9137/77.6264,Central Silk Board Hosur Road,,0d 00h 00m
66,W22_KA04D4864_JETTING,w22_ka04d4864_jetting,1/1/2014,13:30:07,35696,,,,0d 00h 00m
67,C1_KA01D7292_JETTING,c1_ka01d7292_jetting,1/1/2014,13:30:07,25378,,,,0d 00h 00m
68,E11_KA04D5163_JETTING,e11_ka04d5163_jetting,1/1/2014,13:30:08,30747,,,,0d 00h 00m
69,NE1_KA04D5158_JETTING,ne1_ka04d5158_jetting,1/1/2014,13:30:14,892,,,,0d 00h 00m
70,SW4_KA04D5285_TANKER,sw4_ka04d5285_tanker,1/1/2014,13:59:02,27082,12.9202/77.5440,Bhuvaneshwara Nagar,,0d 00h 06m
71,SW5_KA03C5043_TANKER,sw5_ka03c5043_tanker,1/1/2014,14:15:50,43140,12.9000/77.5600,ISRO Layout,,0d 00h 00m
72,NE2_KA04AA1782_DESILTING,ne2_ka04aa1782_desilting,1/1/2014,14:42:21,18918,13.0378/77.5653,Dollars Colony,,0d 19h 07m
73,C2_KA02AC5935_JETTING,c2_ka02ac5935_jetting,1/1/2014,14:57:57,32286,13.0115/77.6044,DevaraJevanaHalli,,0d 00h 01m
74,S11_KA04D5124_TANKER,s11_ka04d5124_tanker,1/1/2014,15:27:42,49661,12.8577/77.5752,Gottigere,,0d 00h 00m
75,E24_KA04D5127_TANKER,e24_ka04d5127_tanker,1/1/2014,15:29:44,24176,13.0112/77.6673,Yerranapallya,,0d 00h 28m
77,NW3_KA04D5126_TANKER,nw3_ka04d5126_tanker,1/1/2014,15:42:33,18784,13.0433/77.5155,Dasarhalli,,0d 00h 00m
78,SE2_KA04C5154_JETTING,se2_ka04c5154_jetting,1/1/2014,15:45:40,18526,12.9754/77.6231,Ulsoor,,0d 01h 31m
79,NE2_KA02AC5944_JETTING,ne2_ka02ac5944_jetting,1/1/2014,15:51:40,63270,13.0349/77.5726,Sanjay Nagar,,0d 00h 00m
80,W21_KA04D5305_TANKER,w21_ka04d5305_tanker,1/1/2014,16:04:48,6489,13.0103/77.5673,Malleshwaram,,0d 00h 00m
81,N12_KA04B7114_TANKER,n12_ka04b7114_tanker,1/1/2014,16:04:56,37588,13.0291/77.6107,Shampura,,0d 00h 00m
82,E12_KA04D6650_JETTING,e12_ka04d6650_jetting,1/1/2014,16:05:32,20033,12.9660/77.6788,Keerthi Regency,,0d 17h 25m
83,NE1_KA04AA7689_JETTING,ne1_ka04aa7689_jetting,1/1/2014,16:19:17,961,13.0247/77.5526,Yesvantpur,,0d 00h 00m
84,WWW_V_VV1_KA53B3465_JETTING,www_v_vv1_ka53b3465_jetting,1/1/2014,16:24:02,31739,12.9834/77.5206,Kamakshi Palya,,0d 21h 05m
85,E24_KA04C5159_JETTING,e24_ka04c5159_jetting,1/1/2014,16:24:33,70036,13.0045/77.6674,Kottur,,0d 00h 00m
86,N12_KA04AA1780_DESILTING,n12_ka04aa1780_desilting,1/1/2014,16:33:55,15647,13.0411/77.5882,Hebbal,,0d 16h 35m
87,S11_KA04D4106_JETTING,s11_ka04d4106_jetting,1/1/2014,16:34:12,95417,12.9226/77.5970,Tilak Nagar,,0d 00h 07m
88,C1_KA04C5127_JETTING,c1_ka04c5127_jetting,1/1/2014,16:37:41,18341,12.9871/77.5901,Hotel Chalukya,,5d 23h 54m
89,N12_KA04D4115_JETTING,n12_ka04d4115_jetting,1/1/2014,16:38:44,24789,13.0187/77.5962,RT Nagar,,0d 00h 00m
90,S11_KA04C2203_JETTING,s11_ka04c2203_jetting,1/1/2014,16:43:15,29548,12.9074/77.5967,J.P. Nagar 3rd Phase,,0d 00h 00m
91,SE5_KA05B8084_TANKER,se5_ka05b8084_tanker,1/1/2014,16:47:46,26464,12.9283/77.6240,Grand Mercure Bangalore,,0d 00h 00m
92,N12_KA04AA1781_DESILTING,n12_ka04aa1781_desilting,1/1/2014,16:55:56,12774,13.0193/77.6019,Mysore Lancers Lines,,0d 00h 00m
93,C2_KA03C5064_TANKER,c2_ka03c5064_tanker,1/1/2014,17:03:27,47770,13.0158/77.6160,Jivanhalli,,0d 00h 00m
94,SW5_KA04D4270_JETTING,sw5_ka04d4270_jetting,1/1/2014,17:08:22,48381,12.9063/77.5610,Kumaraswamy Layout,,0d 00h 00m
95,S12_KA04C5145_JETTING,s12_ka04c5145_jetting,1/1/2014,17:10:42,27663,12.8991/77.6158,Vijaya Bank Colony,,1d 01h 23m
96,E24_KA04D4157_JETTING,e24_ka04d4157_jetting,1/1/2014,18:34:19,55508,13.0007/77.6650,Hotel Evoma,,0d 00h 00m
97,SE1_CAW210_TANKER,SE1_CAW210_Tanker,17/11/2016,15:51:15,58,12.9817/77.6284,Halsur,,2730d 23h 52m
98,SE1_CAW313_TANKER,SE1_CAW313_Tanker,23/11/2016,12:43:25,772,12.9817/77.6284,Halsur,,2709d 19h 55m
99,NE3_KA04AA1789_DESILTING,ne3_ka04aa1789_desilting,30/10/2018,14:37:57,,13.0247/77.5948,RT Nagar,,1967d 20h 47m
100,SW2_CAW311_TANKER,SW2_CAW311_Tanker,31/10/2018,11:21:59,326,12.9267/77.5598,Banagiri Nagar,,2461d 19h 25m
101,W22_KA01A5947_JETTING,w22_ka01a5947_jetting,23/08/2019,11:10:59,,12.9719/77.5127,Naagarabhaavi,,1671d 00h 14m
102,NW11_KA04A3047_JETTING,nw11_ka04a3047_jetting,7/10/2019,10:21:25,,12.9467/77.5301,Banagiri Nagar,,1626d 01h 04m
103,C2_KA04AA9028_DESILTING,c2_ka04aa9028_desilting,18/11/2019,16:58:37,28,13.0016/77.6279,Seva Nagar,,1582d 12h 23m
104,C2_KA03B965_JETTING,c2_ka03b965_jetting,30/12/2019,14:29:16,11427,12.9953/77.6152,FrazerTown,,1541d 20h 56m
105,SW2_CAW236_JETTING,sw2_caw236_jetting,2/1/2020,12:58:16,1736,12.8814/77.5453,Vasantpura,,1538d 20h 01m
106,NE2_KA04A3048_JETTING,ne2_ka04a3048_jetting,8/1/2020,10:22:15,15629,13.0186/77.6128,Keval Bhairsandra,,1533d 00h 57m
107,STP_CUBBON_PARK_KA05D8079_TANKER,stp_cubbon_park_ka05d8079_tanker,9/1/2020,14:10:39,16856,12.9707/77.5910,Iris Hotel,,1531d 21h 09m
108,SE1_KA03B964_JETTING,se1_ka03b964_jetting,14/01/2020,18:12:54,769415,12.8804/77.5464,Vasantpura,,1526d 17h 06m
109,N12_KA04AA1783_DESILTING,n12_ka04aa1783_desilting,16/01/2020,13:32:30,23445,13.0298/77.5887,CBI,,879d 00h 31m
110,SE1_KA04A3046_JETTING,se1_ka04a3046_jetting,16/01/2020,13:32:37,18216,12.9581/77.6124,Hotel Royal Heritage,,1524d 21h 46m
111,NW1_KA04B6770_JETTING,nw1_ka04b6770_jetting,16/01/2020,13:32:37,16480,12.9675/77.5331,Maruthi Mandir,,871d 23h 23m
112,W21_KA04D5156_JETTING,w21_ka04d5156_jetting,6/2/2020,0:22:32,1609344,12.9194/77.5222,Kenchenahalli,,0d 00h 00m
113,WWMN_CV1_KA53B3468_JETTING,wwmn_cv1_ka53b3468_jetting,6/2/2020,21:54:49,816669,,,,0d 00h 00m
114,NW3_KA04AB6025_JETTING,nw3_ka04ab6025_jetting,7/2/2020,6:04:59,1609344,13.0620/77.5044,Bagalkunti,,0d 00h 00m
115,WWM_VV2_KA41AB5933_RECYCLER,wwm_vv2_ka41ab5933_recycler,7/2/2020,11:20:02,1609344,12.9341/77.4916,Nagadevanahalli,,0d 00h 00m
116,S12_KA04C5152_JETTING,s12_ka04c5152_jetting,16/06/2020,13:04:34,18568,12.9771/77.4381,Bayandhalli,,1372d 22h 20m
117,E24_KA03C5056_TANKER,e24_ka03c5056_tanker,7/7/2020,14:47:05,18982,13.0129/77.7054,Shigehalli,,1351d 20h 38m
118,WWM_KC1_KA04AA5948_DESILTING,wwm_kc1_ka04aa5948_desilting,23/07/2020,13:20:39,48091,12.9006/77.5857,Hotel Nandhini J.P.Nagar,,1335d 22h 04m
119,SW4_KA04D4605_JETTING,sw4_ka04d4605_jetting,29/07/2020,10:25:19,17890,12.9296/77.5350,Hosakerahalli,,1330d 01h 00m
120,NE1_KA04A9515_JETTING,ne1_ka04a9515_jetting,7/10/2020,11:34:01,4283,13.0119/77.5677,Malleshwaram,,501d 18h 02m
121,SW2_KA04A9520_JETTING,sw2_ka04a9520_jetting,12/1/2021,12:17:59,9897,12.9777/77.4387,Bayandhalli,,1162d 23h 05m
122,NE2_KA05AD2943_DESILTING,ne2_ka05ad2943_desilting,5/4/2021,15:12:25,684,13.0117/77.5680,Malleshwaram,,0d 00h 00m
123,NE1_KA03C5068_TANKER,ne1_ka03c5068_tanker,3/3/2022,17:51:57,1056415,12.9705/77.5914,Iris Hotel,,747d 17h 33m
124,NW1_KA04A9519_JETTING,nw1_ka04a9519_jetting,22/04/2022,10:49:08,24278,13.0089/77.5490,NarayanaNethralaya,,698d 00h 36m
125,WWM_KC2_KA53B3473_DUMPTANKER,wwm_kc2_ka53b3473_dumptanker,20/05/2022,14:45:58,3327,12.9561/77.6434,Hare Krishna Residency,,669d 20h 39m
126,WWM_KA53B3474_DUMPING,wwm_ka53b3474_dumping,28/05/2022,11:39:11,11109,13.0419/77.5971,Gudahalli,,0d 00h 39m
127,WWM_KA53B3477_DUMPING,wwm_ka53b3477_dumping,4/6/2022,9:52:18,5802,13.0427/77.5872,Hebbal Kere,,105d 01h 56m
128,WWM_VV1_KA53B3460_JETTING,wwm_vv1_ka53b3460_jetting,22/07/2022,15:33:58,277,12.9367/77.5212,Nayandanahalli,,89d 19h 38m
129,SW6_KA04C5129_JETTING,sw6_ka04c5129_jetting,27/07/2022,12:44:16,26916,12.8745/77.5182,Poornapragana Layout,,601d 22h 41m
130,NW1_KA04D4278_JETTING,nw1_ka04d4278_jetting,28/07/2022,13:08:54,17691,13.0044/77.5308,GeleyaraBalaga,,0d 01h 03m
131,SE1_KA04D5303_TANKER,se1_ka04d5303_tanker,15/09/2022,12:17:39,28965,12.9827/77.6494,Thippasandra,,0d 00h 00m
132,NE2_KA04AB5800_JETTING,ne2_ka04ab5800_jetting,11/10/2022,21:08:20,14471,13.0104/77.5675,Malleshwaram,,0d 00h 00m
133,NE2_KA04A9517_JETTING,ne2_ka04a9517_jetting,20/10/2022,12:10:41,10845,12.9870/77.5711,Dew Drops,,430d 19h 46m
134,NE2_KA04B7110_TANKER,ne2_ka04b7110_tanker,21/10/2022,10:13:52,35895,13.0105/77.5859,Kempe Gandi's Pillar,,0d 00h 00m
135,NE1_KA04B7111_TANKER,ne1_ka04b7111_tanker,22/10/2022,1:41:12,12847,13.0113/77.5679,Malleshwaram,,0d 00h 00m
136,NE2_KA04D4272_JETTING,ne2_ka04d4272_jetting,24/10/2022,12:09:45,18742,12.9976/77.5757,Hotel Magaji Orchids,,0d 00h 00m
137,SW3_KA02AC5929_JETTING,sw3_ka02ac5929_jetting,26/10/2022,15:10:27,22458,12.9403/77.5617,Nirmala Stores,,4d 00h 28m
138,SE1_KA04D4110_JETTING,se1_ka04d4110_jetting,26/10/2022,16:23:06,18116,12.9580/77.6121,Hotel Royal Heritage,,0d 00h 08m
139,WWM_VV1_KA04AA9029_DESILTING,wwm_vv1_ka04aa9029_desilting,26/10/2022,20:16:52,9218,,,,0d 00h 00m
140,NE1_KA04C5136_JETTING,ne1_ka04c5136_jetting,26/10/2022,22:26:12,83826,13.0104/77.5667,Malleshwaram,,0d 00h 00m
141,NW1_KA04C5131_JETTING,nw1_ka04c5131_jetting,26/10/2022,22:46:57,14761,13.0076/77.5508,Nagapura,,0d 00h 00m
142,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,26/10/2022,23:47:29,86762,13.0112/77.5671,Malleshwaram,,224d 00h 26m
143,NE1_KA04A6216_JETTING,ne1_ka04a6216_jetting,26/10/2022,23:57:52,1609029,13.0108/77.5673,Malleshwaram,,1d 14h 36m
144,SW3_KA05AD2942_DESILTING,sw3_ka05ad2942_desilting,26/10/2022,23:57:54,23776,12.9430/77.5763,Venus Residency,,0d 00h 00m
145,SW3_KA04C5147_JETTING,sw3_ka04c5147_jetting,26/10/2022,23:57:59,23126,12.9433/77.5764,Venus Residency,,0d 00h 00m
146,SW3_KA05A8077_TANKER,sw3_ka05a8077_tanker,26/10/2022,23:58:01,24519,12.9428/77.5759,Venus Residency,,0d 00h 00m
147,SW3_KA04A9513_JETTING,sw3_ka04a9513_jetting,26/10/2022,23:58:04,28399,12.9431/77.5764,Venus Residency,,126d 02h 05m
148,NE2_KA04C5137_JETTING,ne2_ka04c5137_jetting,26/10/2022,23:58:33,34377,13.0104/77.5668,Malleshwaram,,0d 00h 00m
149,E1_KA04D5122_TANKER,e1_ka04d5122_tanker,26/10/2022,23:58:34,26694,13.0211/77.6496,Babushibpalya,,0d 00h 00m
150,WWM_KA53B3476_DUMPING,wwm_ka53b3476_dumping,26/10/2022,23:58:36,26236,13.0425/77.6015,Visvesvaraya Nagenhalli,,0d 00h 00m
151,NW1_KA04D6656_JETTING,nw1_ka04d6656_jetting,26/10/2022,23:58:36,45000,13.0075/77.5508,Nagapura,,0d 02h 32m
152,SE1_KA04AB5793_JETTING,se1_ka04ab5793_jetting,26/10/2022,23:58:42,13652,12.9582/77.6123,Hotel Royal Heritage,,0d 00h 00m
153,WWM_VV1_KA53B3459_DUMPING,wwm_vv1_ka53b3459_dumping,26/10/2022,23:58:43,4465,12.9366/77.5211,Nayandanahalli,,0d 00h 08m
154,SE1_KA04AA9030_DESILTING,se1_ka04aa9030_desilting,26/10/2022,23:58:44,11222,12.9581/77.6123,Hotel Royal Heritage,,0d 00h 00m
155,SE1_KA04AB5794_JETTING,se1_ka04ab5794_jetting,26/10/2022,23:58:49,13637,12.9582/77.6123,Hotel Royal Heritage,,0d 00h 00m
156,SE1_KA04C5150_JETTING,se1_ka04c5150_jetting,26/10/2022,23:58:49,19374,12.9582/77.6123,Hotel Royal Heritage,,0d 00h 00m
157,WWM_KC2_KA53B3472_JETTING,wwm_kc2_ka53b3472_jetting,26/10/2022,23:58:53,28797,12.9564/77.6433,Hare Krishna Residency,,0d 00h 44m
158,WWM_KA53B3475_DUMPING,wwm_ka53b3475_dumping,26/10/2022,23:58:54,12318,13.0425/77.6015,Visvesvaraya Nagenhalli,,122d 20h 33m
159,NE1_KA04A9516_JETTING,ne1_ka04a9516_jetting,26/10/2022,23:59:01,280295,13.0101/77.5664,Malleshwaram,,0d 00h 01m
1,EE_WWMNH_A_V_KA53B3470_SUCTION,ee_wwmnh_a_v_ka53b3470_suction,1/1/2014,5:30:18,22823,,,,0d 00h 06m
2,E11_KA04C5158_JETTING,e11_ka04c5158_jetting,1/1/2014,5:30:20,22358,,,,0d 18h 05m
3,SW2_KA04AA7685_DESILTING,sw2_ka04aa7685_desilting,1/1/2014,5:30:20,7981,,,,0d 01h 15m
4,WWMN_CV1_KA53B3464_JETTING,wwmn_cv1_ka53b3464_jetting,1/1/2014,5:30:20,14804,,,,28d 08h 11m
5,S12_KA05D8083_TANKER,s12_ka05d8083_tanker,1/1/2014,5:30:20,32840,,,,0d 02h 14m
6,E12_KA04D6648_JETTING,e12_ka04d6648_jetting,1/1/2014,5:30:20,14721,,,,0d 16h 38m
7,WWMN_CV1_KA04AA9020_DESILTING,wwmn_cv1_ka04aa9020_desilting,1/1/2014,5:30:20,14801,,,,1d 00h 11m
8,SE5_KA04A3044_JETTING,se5_ka04a3044_jetting,1/1/2014,5:30:22,17052,,,,0d 00h 01m
9,E21_KA02AC4521_JETTING,e21_ka02ac4521_jetting,1/1/2014,5:30:29,40815,,,,0d 00h 00m
